Time[s],xPosition1[m],yPosition1[m],absPosition1[m],Angle1[rad],xVelocity1[m/s],yVelocity1[m/s],absVelocity81[m/s],AngularVelocity1[rad/s]
19.75,0.000168561,0.000145286,0.00022253300000000002,,7.6427e-07,-3.3411e-07,8.3411e-07,
19.875,0.000168729,0.00014545,0.000222768,,8.7825e-07,-4.8205e-07,1.0018e-06,
20.0,0.000170171,0.000146157,0.000224322,,1.0828e-06,-6.4546e-07,1.2606e-06,
20.125,0.00017056,0.000145911,0.00022445699999999998,,1.1692e-06,-6.9639e-07,1.3608e-06,
20.25,0.00017080500000000003,0.000145856,0.000224607,,1.2053e-06,-7.6637e-07,1.4283e-06,
20.375,0.000170877,0.000145945,0.00022472,,1.1679e-06,-8.7314e-07,1.4582e-06,
20.5,0.000170995,0.000146288,0.00022503300000000003,,1.0869e-06,-8.1227e-07,1.3569e-06,
20.625,0.000170224,0.00014593800000000002,0.000224219,,9.3436e-07,-8.1987e-07,1.2431e-06,
20.75,0.00017013800000000002,0.000144845,0.000223443,,8.181e-07,-8.9007e-07,1.2089e-06,
20.875,0.000170194,0.000143864,0.000222851,,6.4222e-07,-8.9222e-07,1.0993e-06,
21.0,0.00017025999999999999,0.000143907,0.00022292999999999998,,6.3789e-07,-5.7413e-07,8.5822e-07,
21.125,0.000170473,0.000143985,0.000223142,,6.0041e-07,-3.3711e-07,6.8858e-07,
21.25,0.000170648,0.000144469,0.000223589,,5.7742e-07,-2.3286e-07,6.2261e-07,
21.375,0.000171225,0.000145489,0.000224689,,6.1013e-07,-9.3746e-08,6.1729e-07,
21.5,0.000171354,0.000145097,0.000224533,,7.0564e-07,9.5856e-08,7.1212e-07,
21.625,0.000171808,0.000144821,0.00022470200000000002,,6.0332e-07,2.5799e-07,6.5617e-07,
21.75,0.000171782,0.000144906,0.000224737,,5.1606e-07,2.147e-07,5.5894e-07,
21.875,0.000171427,0.000145622,0.000224929,,5.1121e-07,-1.0928e-07,5.2276e-07,
22.0,0.00017099700000000002,0.000145421,0.000224471,,8.8153e-07,-3.9943e-07,9.6781e-07,
22.125,0.000170852,0.00014475,0.000223926,,1.1743e-06,-7.0175e-07,1.368e-06,
22.25,0.000171055,0.00014466499999999998,0.000224026,,1.3901e-06,-8.4937e-07,1.6291e-06,
22.375,0.000171259,0.000144342,0.00022397400000000002,,1.57e-06,-7.1124e-07,1.7236e-06,
22.5,0.000171189,0.000144327,0.000223911,,1.6003e-06,-6.004e-07,1.7093e-06,
22.625,0.00017150099999999998,0.000144319,0.00022414400000000001,,1.5988e-06,-6.0256e-07,1.7085e-06,
22.75,0.000172043,0.000143962,0.00022433000000000002,,1.5735e-06,-6.1519e-07,1.6895e-06,
22.875,0.000174107,0.000144096,0.00022600200000000002,,1.4697e-06,-4.6037e-07,1.5401e-06,
23.0,0.000174027,0.00014397299999999999,0.00022586200000000001,,1.1716e-06,-2.6121e-07,1.2004e-06,
23.125,0.000173948,0.000144192,0.000225941,,9.4847e-07,-6.7057e-08,9.5084e-07,
23.25,0.00017358100000000002,0.00014441499999999998,0.000225801,,8.2221e-07,1.2498e-07,8.3166e-07,
23.375,0.00017302300000000001,0.000144573,0.000225474,,7.3621e-07,1.8118e-07,7.5817e-07,
23.5,0.000172583,0.000144249,0.000224928,,5.3051e-07,2.0365e-07,5.6825e-07,
23.625,0.00017260500000000002,0.000144017,0.000224796,,3.8019e-07,2.205e-07,4.395e-07,
23.75,0.000172735,0.00014391000000000002,0.000224827,,1.6225e-07,2.0761e-07,2.6349e-07,
23.875,0.00017244300000000002,0.000144116,0.000224735,,3.2763e-07,2.3935e-07,4.0575e-07,
24.0,0.00017318900000000003,0.00014467199999999999,0.000225665,,3.3897e-07,-2.3815e-08,3.3981e-07,
24.125,0.00017377600000000002,0.000144747,0.000226163,,3.798e-07,-2.2622e-07,4.4207e-07,
24.25,0.000174133,0.00014444799999999998,0.000226247,,3.5658e-07,-3.9007e-07,5.285e-07,
